accX,accY,accZ,gyroX,gyroY,gyroZ,angleX
0.2671,1.1313,1.5776,-22.583,-5.4932,2.1362,43.687
0.2671,1.1313,1.5776,-22.583,-5.4932,2.1362,43.467
0.3047,1.1436,1.5776,-24.7192,-4.5166,-2.8076,43.242
0.3159,1.1436,1.5723,-27.2827,-2.8687,-3.0518,43
0.314,1.1396,1.5596,-30.5176,1.3428,0,42.737
0.314,1.1396,1.5596,-30.5176,1.3428,0,42.429
0.251,1.1143,1.5586,-34.6069,4.2114,4.5776,41.732
0.2407,1.1187,1.5776,-35.2783,2.0142,3.7842,41.375
0.2725,1.0898,1.6084,-38.6963,-4.6387,1.3428,40.99
0.292,1.0752,1.6089,-39.978,-4.3945,-0.4272,40.594
0.2881,1.0596,1.5903,-40.8325,-3.9062,-2.1973,40.193
0.2861,1.0576,1.5693,-41.0156,-2.8076,-3.2349,39.787
0.2925,1.0762,1.5649,-41.9312,-0.5493,-4.0283,39.375
0.2969,1.0928,1.5742,-44.9829,1.0986,-4.1504,38.93
0.2876,1.0879,1.5825,-48.9502,2.5024,-2.2583,38.441
0.2739,1.063,1.5908,-51.6968,3.0518,0.8545,37.919
0.269,1.0381,1.6108,-52.3682,2.6245,2.5635,37.386
0.2734,1.0059,1.6377,-52.3071,2.0752,1.6479,36.865
0.2671,0.9702,1.6387,-50.9033,0.7324,-0.6714,36.354
0.2305,0.9409,1.5835,-48.645,-2.5635,-1.6479,35.87
0.2329,0.9517,1.5381,-44.8608,-4.5166,-3.6011,35.431
0.2559,0.9976,1.5195,-43.9453,-6.0425,-7.9956,35.008
0.3003,1.0405,1.5063,-48.0347,-6.7139,-11.8408,34.547
0.3223,1.0474,1.5117,-54.8706,-3.9673,-12.146,34.014
0.29,1.0186,1.5435,-59.9976,-1.2207,-8.667,33.426
0.2515,0.9648,1.5903,-60.2417,-0.8545,-3.1128,32.827
0.2202,0.9116,1.6426,-56.9458,-2.8076,1.8921,32.256
0.1948,0.8525,1.6616,-53.3447,-6.5308,5.0049,31.723
0.2085,0.8101,1.6567,-46.3257,-11.1084,3.9062,31.262
0.2612,0.8149,1.644,-38.9404,-13.7329,-0.9155,30.888
0.3223,0.8491,1.6343,-35.0342,-13.6719,-5.7373,30.553
0.3667,0.8896,1.6245,-35.1562,-10.498,-7.7515,30.223
0.3418,0.9116,1.6045,-42.7856,-3.8452,-6.1646,29.427
0.3418,0.9116,1.6045,-42.7856,-3.8452,-6.1646,29.427
0.2686,0.8662,1.624,-46.3257,-3.3569,-7.9346,28.982
0.2578,0.8374,1.6411,-45.2271,-4.9438,-8.3008,28.531
0.2681,0.8159,1.6543,-43.396,-6.0425,-8.667,28.092
0.2954,0.7954,1.6611,-42.4194,-6.2256,-10.5591,27.675
0.3218,0.7773,1.6611,-40.5884,-5.5542,-13.6108,27.274
0.3379,0.7827,1.6606,-37.4756,-4.2114,-16.6016,26.537
0.3467,0.8032,1.6523,-36.7432,-2.8076,-18.4326,26.197
